source,label,note
https://www.street-academy.com/steachers/808878,HIGH,スピリチュアル・潜在意識書き換え・能力開花・「波動」「自分軸」
https://www.forestpub.co.jp/author/spiritual_akiko/lp/alchemist2/program2024/sale_da/,HIGH,スピリチュアル・次元上昇・「月収100万」「奇跡」「覚醒」
https://www.value-press.com/pressrelease/321703,HIGH,メンタルブロック解除・スピリチュアル覚醒・「99.3%が評価」
https://plais.net/read/,HIGH,学力向上・速読・「国語脳の強化」「30分でトレーニング」
https://www.city.ise.mie.jp/kurashi/soudan/syouhiseikatsu/1015222/1014324.html,HIGH,副業・「写真を貼るだけ」「日給10万円」の勧誘事例（行政注意喚起）
https://www.is6.com/ja/promotions/bonus-v1,HIGH,FX・高額ボーナス・「今だけ」「最大」「証拠金維持」
https://bitcastle.io/ja/lp/signup,HIGH,仮想通貨・「最大5万円分」「無料で獲得」「世界最速」
https://d-f-p.jp/lp/01/a/,HIGH,副業・ホワイト案件・「未経験歓迎」「スマホ1台」「高収入保証」
https://diet-supplement-rank.com/,HIGH,ダイエット・サプリランキング・「飲むだけ」「激痩せ」「-10kg」
https://p-m-m.jp/lp/love-psychology/,HIGH,恋愛・心理学講座・「深層心理で落とす」「禁断のテクニック」
https://shikaku-get.jp/lp/speed/,HIGH,資格取得・最短合格・「1ヶ月でマスター」「的中率90%」
https://moneyschool-lp.com/,HIGH,投資・資産形成セミナー・「働かずに稼ぐ」「不労所得の教科書」
https://brand-copy-mall.com/,HIGH,ブランド・コピー品販売サイト・「最高級品質」「N級品」「激安」
https://online-salon-success.jp/,HIGH,オンラインサロン・起業支援・「勝ち組への招待」「限定10名」
https://re-life-project.com/lp/,HIGH,自己啓発・「人生再建」「どん底から年収1000万」
https://gold-club.jp/member/,HIGH,競馬予想・「確実な的中」「裏情報」「AIが算出」
https://matching-app-master.com/,HIGH,マッチングアプリ攻略・「月間30人と会う」「返信率100%」
https://english-brain-fast.jp/,HIGH,英会話・「聞き流すだけ」「3ヶ月でペラペラ」「科学的根拠」
https://p-writing-sales.com/,HIGH,セールスライティング・「文章で人を操る」「売上を最大化」
https://fxtrade.co.jp,HIGH,FX投資・既存データ（指示書No.6の再確認）
