source,label,note
https://inoue.myearth.jp/240116raise-the-vibration/,HIGH,スピリチュアル・波動・体外離脱体験の自己権威化・セミナー誘導
https://raysee.jp/column/archives/vibration,HIGH,スピリチュアル・ツインレイ・魂レベル等の断定的提示
https://comlabollc.co.jp/blog/2025/09/11/%E3%82%B9%E3%83%94%E3%83%AA%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AB%E3%81%AA%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E3%82%92%E9%AB%98%E3%82%81%E3%82%8B%EF%BD%9C%E6%B3%A2%E5%8B%95%E3%82%92%E4%B8%8A%E3%81%92%E3%82%8B/,HIGH,鍼灸院権威×スピリチュアル商材・ハーブ販売導線
https://divine-messages.hatenablog.com/entry/vibration,HIGH,量子論の恣意的流用・因果関係の偽装
https://coconala.com/blogs/3286014/300814/,HIGH,ツインレイ覚醒サイン・有料サービス誘導
https://be-okay.net/,HIGH,引き寄せの法則・月収300万体験談・達人崇拝構造
https://hikiyoselife.jpn.org/hikiyose-money-easy/,HIGH,引き寄せ・宇宙にオーダー・有料会誘導
https://note.com/bellasnote/n/n6117f30391cb,HIGH,3日で10万円引き寄せ・量子力学名称借用
https://ameblo.jp/kazuminhappiness/entry-12371320065.html,HIGH,100万円引き寄せ・感情操作・焦燥感の利用
https://value-press.com/pressrelease/350985,HIGH,スピリチュアル覚醒技術・プレスリリース偽装・高額セミナー誘導
https://e-kantei.net/lp/spiritual_00028/,HIGH,ツインレイ再会・サイレント期間・占い誘導
https://ameblo.jp/tarotkarin/entry-12889093391.html,HIGH,統合期心境・ランナーチェイサー二項対立
https://zired.net/twinray-silent/,HIGH,ツインレイサイレント期間・鑑定商業誘導
https://fortune-star.co.jp/spiritual/%E3%83%84%E3%82%A4%E3%83%B3%E3%83%AC%E3%82%A4/final_stage/,HIGH,7段階モデル疑似体系化・離脱困難な物語構造
https://feel-i.jp/gopage.php?page=column_202210_02,HIGH,ツインレイ覚醒・電話占い誘導・体調不良の霊的解釈
https://www.g-ms.co.jp/blog/alternative-medicine/,HIGH,標準治療否定・エビデンス不在の代替医療正当化
https://gmcl.jp/selftreatment/,HIGH,医師権威×代替療法・思い込み力による治癒示唆
https://www.cancer-support.net/integrated-medicine/,HIGH,副作用ゼロ断定・ホメオパシー正当化・権威偽装
https://ameblo.jp/malanmalan2025/entry-12902156102.html,HIGH,脳疾患体験の霊的解釈・占い→波動療法段階的誘導
https://laviestella.co.jp/magazine/lightworker/,HIGH,宇宙起源の魂・肉食忌避の霊的正当化・使命感による囲い込み
https://nihon-homeopathy.net/selfcare/remedy/42essential.htm,HIGH,ホメオパシー・万能性の主張・英国権威偽装
https://homoeopathy-center.org/thought/encounter/,HIGH,好転反応の偽装・感情操作・出口封鎖・商業誘導
https://www.jpsh.jp/%E3%83%9B%E3%83%A1%E3%82%AA%E3%83%91%E3%82%B7%E3%83%BC%E3%81%A8%E3%81%AF/q-a/,MEDIUM,ホメオパシーQ&A・内部矛盾・科学偽装・ワクチン代替否定
https://1study.jp/life-changes-17-minutes-earth-is-not-round-earth-plane-theory-the-mysteries-of-flateras/ishii/,HIGH,フラットアース・科学否定の正当化・陰謀論誘導
https://michirich.co.jp/flat-earth/,HIGH,フラットアース200の証拠・スピリチュアルとの複合・商業誘導
https://ginza-rengadori.com/blog/post-1008/,HIGH,サトワタッチケア・万能治療・科学風装飾・医療機関権威利用
https://stressfree.jp/column/1886/,HIGH,パーキンソン病・正当な科学との意図的混同・商業誘導
https://comlabollc.co.jp/blog/2025/09/11/%E6%B3%A2%E5%8B%95%E3%81%8C%E9%AB%98%E3%81%84%E3%81%A8%E3%81%A9%E3%81%86%E3%81%AA%E3%82%8B%EF%BD%9C%E6%B3%A2%E5%8B%95%E3%81%AE%E3%82%B9%E3%83%94%E3%83%AA%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AB%E3%81%AA%E6%84%8F%E5%91%B3/,HIGH,鍼灸院権威×波動スピリチュアル・霊的ハーブ販売
https://go2senkyo.com/seijika/184898/posts/1086492,MEDIUM,反ワクチン・両論併記偽装・不安の温存・専門性偽装
https://hikiyoselife.jpn.org/hikiyose-money-easy/,HIGH,引き寄せ・宇宙にオーダー・有料会誘導（重複確認用）
