phrase,fn_df,all_df,fp_ratio,fn_pct,length
を与えます,6,6,1.0,37.5,5
た際の,6,6,1.0,37.5,3
与えます,6,6,1.0,37.5,4
を与えます。,5,5,1.0,31.2,6
ている人を,5,5,1.0,31.2,5
いる人を,5,5,1.0,31.2,4
後悔し,5,5,1.0,31.2,3
と思わせる,5,5,1.0,31.2,5
。気に,5,5,1.0,31.2,3
。無料で,5,5,1.0,31.2,4
与えます。,5,5,1.0,31.2,5
逆転する,5,5,1.0,31.2,4
23歳,5,5,1.0,31.2,3
付き合って,5,5,1.0,31.2,5
大事にし,5,5,1.0,31.2,4
の距離を,5,5,1.0,31.2,4
大事にして,5,5,1.0,31.2,5
に執着,5,5,1.0,31.2,3
切り替える,5,5,1.0,31.2,5
すぎる。,5,5,1.0,31.2,4
が普通,5,5,1.0,31.2,3
にスマホ,5,5,1.0,31.2,4
連絡が,5,5,1.0,31.2,3
の返信,5,5,1.0,31.2,3
感じる。,5,5,1.0,31.2,4
に撮影,4,4,1.0,25.0,3
がいた場合,4,4,1.0,25.0,5
てメッセージ,4,4,1.0,25.0,6
はゼロ,4,4,1.0,25.0,3
て聞い,4,4,1.0,25.0,3
なサービスを,4,4,1.0,25.0,6
付き合い方,4,4,1.0,25.0,5
から検索,4,4,1.0,25.0,4
なる女性,4,4,1.0,25.0,4
します」,4,4,1.0,25.0,4
会う前,4,4,1.0,25.0,3
も毎日,4,4,1.0,25.0,3
2009年,4,4,1.0,25.0,5
人の男性,4,4,1.0,25.0,4
募集を,4,4,1.0,25.0,3
環境」,4,4,1.0,25.0,3
・自分の,4,4,1.0,25.0,4
特徴・,4,4,1.0,25.0,3
に指定,4,4,1.0,25.0,3
サイト利用,4,4,1.0,25.0,5
さらに「,4,4,1.0,25.0,4
を探すこと,4,4,1.0,25.0,5
を制限,4,4,1.0,25.0,3
に共通し,4,4,1.0,25.0,4
との距離を,4,4,1.0,25.0,5
パターンを,4,4,1.0,25.0,5
パートナーの,4,4,1.0,25.0,6
いい女,4,4,1.0,25.0,3
し、お,4,4,1.0,25.0,3
処理する,4,4,1.0,25.0,4
にする。,4,4,1.0,25.0,4
出さない,4,4,1.0,25.0,4
、LINEの,4,4,1.0,25.0,6
で20,4,4,1.0,25.0,3
は50,4,4,1.0,25.0,3
