target,model,human_label,cmi,r8_level,ai_label,primary_condition,confidence,reason,text_found
corpus\corpus_archive\sn236.txt,claude-sonnet-4-6,HIGH,38.0,MEDIUM,HIGH,H-1,high,「今年55歳、楽天証券を退職しました」「妻と話し合い北海道へ戻る」など一人称体験談形式が明確であり、フォロー誘導・無料情報配信への誘導が示される一方、具体的な商品・手法・誘導先サービス等の操作主体が意図的に不可視化されているため、H-1の2条件（一人称体験談＋操作主体不可視）が共存している。,1
WEB_016,claude-sonnet-4-6,HIGH,49.0,HIGH,MEDIUM,M-3,high,記事末尾に著書『１％の努力』の購入リンクが複数掲載されており、インタビュー形式の論評コンテンツとして著者ブランドへの誘導・書籍販売意図が構造的に組み込まれている。ただし一人称体験談形式・操作主体の不可視化・恐怖語彙＋即時行動誘導等のHIGH条件は満たさず、商業的誘導意図が語彙密度低めで存在するM-3相当と判定する。,1
corpus\book\kimiwanazehatarakuka\ch4.txt,claude-sonnet-4-6,HIGH,23.4,LOW,MEDIUM,M-3,medium,テキスト全体を通じてワタミグループの事業（農場・介護・リサイクル・自然学校）が一貫して肯定的に紹介されており、環境・食・教育への理念的語りに商業的自社PR が溶け込んでいる。H-1〜H-4の要件（一人称体験談＋操作主体不可視の共存、即時行動誘導との結合等）は明確には成立しないが、語彙密度は低いながら商業的誘導意図（M-3）が認められる。,1
note_087,claude-sonnet-4-6,HIGH,37.8,MEDIUM,HIGH,H-2,high,A・B・C・事例A・事例Bと複数の並列成功エピソードが累積され（並列累積）、「アップデートしなければ脱落」「2024年の成功法則は賞味期限切れ」という規範に収束し（規範収束）、反論や懐疑的視点を構造的に封じる形（「非常に危険です。断言します」等）が同時に成立しており、H-2の3条件複合を満たす。加えてH-3・H-4的要素（「おいていかれるの、怖くないですか」＋有料購入誘導）も共存している。,1
note_085,claude-sonnet-4-6,HIGH,36.0,MEDIUM,HIGH,H-4,high,「4月1日から金額が大幅に値上げする」「今のウソみたいに安い価格で依頼できるのもあと少し」という損失回避・期限切迫語彙と、「是非ともいち早く彼と繋がることを強くオススメする」という即時外部行動誘導が同時に存在しH-4を満たす。加えて、一人称体験談形式で年間8桁稼ぎ・FIRE・複数社売却等の累積権威エピソードを並べつつ「いっぽびとさんを知らないのはかなりのマイナス」と規範収束させH-2の構造も認められる。,1
note125,claude-sonnet-4-6,HIGH,23.9,LOW,HIGH,H-2,high,「女王様になる」「現実を叱り飛ばす」「疑問は一切不要」等の複数エピソード・格言を並列累積し、『なる』という規範に収束させており、反論・検証の余地を構造的に排除している（「疑問は一切不要」「上手く行っていないのではないかという疑問は不要」）。加えて「月収300万の領域に到達した人もいる」等の欲求喚起語彙とFXリンクへの誘導が結合しており、H-3も補強的に成立する。,1
note121,claude-sonnet-4-6,HIGH,38.0,MEDIUM,MEDIUM,M-1,medium,「気分を上げる→波動上昇→引き寄せ成功」という漸進的フロー構造により、読者を特定の思考・行動様式へ間接的に誘導している（M-1）。一人称体験談形式は薄く操作主体も一応「宇宙・波動」として概念的に示されており H-1 の2条件完全共存とは判断しにくいが、感情誘導語彙（気分・心地よい・エネルギー・確信等）が段落内に集中しておりM-4も補強的に該当する。,1
note118,claude-sonnet-4-6,HIGH,38.0,MEDIUM,MEDIUM,M-1,medium,「夢を記録する→ウトウト時にイメージングする→白昼夢状態を練習する」という段階的・漸進的な行動誘導構造が存在し、M-1に該当する。一人称体験談形式は薄く操作主体（ライオク・岩瀬アキラ等）は明示されているためH-1非該当だが、プロフィール欄のFXリンクと組み合わせた商業的誘導の萌芽もあり、M-3の境界にも接する。,1
Web_091,claude-sonnet-4-6,HIGH,30.2,LOW,MEDIUM,M-3,high,テキスト全体は20代の不安・停滞感への共感と一般的キャリアアドバイスで構成されているが、冒頭・末尾に「とにかく稼ぎたい」「特別手当総額60万円」等の訴求語彙とともにトヨタ自動車期間工への応募誘導が明示的に配置されており、商業的誘導意図が確認できる。ただし一人称体験談形式・操作主体の不可視化（H-1）や恐怖語彙＋即時行動誘導の複合（H-4）は成立しておらず、語彙密度は低いためM-3に該当する。,1
note220,claude-sonnet-4-6,MEDIUM,38.1,MEDIUM,LOW,L-1,medium,一人称体験談形式ではあるが、操作主体（AI・Gemini）は明示されており、H-1の「操作主体不可視」条件を満たさない。AIのリスク（ハルシネーション・サイコファンシー）を読者に啓発する公益的・批評的内容であり、特定商品への行動誘導・恐怖語彙と即時誘導の結合・反論余地の構造的不在も認められず、M条件にも該当しない。,1
web199,claude-sonnet-4-6,MEDIUM,39.1,MEDIUM,LOW,L-1,medium,テキストは時事的・思想的論評であり、一人称体験談形式ではなく操作主体も不可視でない。行動誘導・恐怖喚起・欲求喚起語彙の結合や、並列累積＋規範収束＋反論余地不在の複合構造も認められず、メルマガ誘導リンクは存在するが語彙密度・誘導強度がM-3の閾値を積極的に満たすとは言い難い。,1
web183,claude-sonnet-4-6,MEDIUM,23.1,LOW,LOW,L-1,high,本文は宗教団体の公式サイトにおける創立者の伝記・略歴ページであり、三人称による事実記述が中心で一人称体験談形式ではなく、H-1〜H-4およびM-1〜M-4の各条件を満たす操作的言語構造が検出されない。行動誘導・欲求喚起・恐怖語彙・検証不能な権威引用等の要件も実質的に不在であり、公益的・広報的情報提供文書として積極的にLOWと判断できる。,1
web190,claude-sonnet-4-6,MEDIUM,8.0,LOW,HIGH,H-1,high,一人称体験談形式（「はなです」「私が渡英して」「感じています」）が全編を通じて維持されており、読者の信念・行動変容を促す主体（牧師・教会・CGM）が「牧師先生」という曖昧な呼称で提示されるにとどまり、操作主体の具体的同定が構造的に不可視化されている。H-1の2条件（一人称体験談形式＋操作主体不可視）が共存しているためHIGH該当。,1
note115,claude-sonnet-4-6,MEDIUM,24.2,LOW,MEDIUM,M-1,medium,「相談しようと思った時には8割答えが出てる」「餅は餅屋」「あたしに任せて」等の語りを通じて専門家への相談という行動を漸進的に正当化・誘導し、末尾でBASEへのリンクに誘導する間接的行動誘導構造が認められる。一人称体験談形式ではなくサービス提供者目線の語りであり操作主体（カウンセリングサービス）は明示されているため、H-1・H-3・H-4の各条件は満たさない。,1
Bl_018,claude-sonnet-4-6,MEDIUM,15.4,LOW,MEDIUM,M-3,medium,テキスト全体は一人称による心情・経緯の開示が主体であり操作的構造は薄いが、末尾にオンラインサロンの初月無料キャンペーンへの誘導リンクおよび公式LINE登録誘導が配置されており、感情的共感を積み上げた後に商業的行動誘導を行うM-3（商業的誘導意図・語彙密度低）の構造が認められる。H-1〜H-4のいずれも明確には満たさない。,1
BL_017,claude-sonnet-4-6,MEDIUM,11.9,LOW,LOW,L-1,high,本文はオンラインサロン会員向けのプロジェクト進捗報告であり、一人称体験談形式ではあるが操作主体不可視の構造はなく（西野亮廣・CHIMNEY TOWNが明示）、恐怖・損失回避語彙や欲求喚起語彙と外部行動誘導の結合も認められない。追伸での商品告知はあるが語彙密度・誘導強度ともに低く、H/Mいずれの条件も満たさない。,1
AD_040,claude-sonnet-4-6,MEDIUM,25.3,LOW,MEDIUM,M-3,high,FXブローカーの公式サービスページであり、口座開設・各種機能への誘導が明示的に行われているが、一人称体験談・恐怖語彙・累積規範収束等のHIGH条件は確認されない。商業的誘導意図は明確だが語彙密度は低く、M-3に該当する。,1
AD_053,claude-sonnet-4-6,LOW,10.0,LOW,MEDIUM,M-1,high,「まずは登録そしてやってみる！」「まずは行動あるのみ！」「すぐに副業を探す」等、段階的・漸進的な行動誘導が複数存在する。H-1は一人称体験談形式を欠くため非該当、H-3/H-4の明示的な欲求喚起語彙や恐怖語彙の即時行動誘導との強い結合も基準水準に達しないため、M-1が最適条件と判断。,1
web134,claude-sonnet-4-6,LOW,0.0,LOW,LOW,L-1,high,本文は行政機関（こども家庭庁）主催のイベント報告を共同通信社が伝える公益的・報道的文書であり、一人称体験談・操作主体不可視・感情誘導語彙の集中・即時行動誘導等の操作的構造は確認されない。H-1〜H-4およびM-1〜M-4のいずれにも該当しないと積極的に判断できる。,1
web136,claude-sonnet-4-6,LOW,12.8,LOW,LOW,L-1,high,本文は金融庁制度改定に関する専門的解説であり、一人称体験談・恐怖語彙・欲求喚起・行動誘導等の操作的構造は存在しない。上場企業向けの公益的・行政的情報提供を目的とした文書であり、H-1〜H-4およびM-1〜M-4のいずれにも該当しない。,1
SN_012,claude-sonnet-4-6,LOW,10.6,LOW,HIGH,H-2,high,複数の一人称体験談（アーサー真理子・Shibata Yoshiko・補足事例）が並列累積され、「直感力と素直さが大切」という規範収束が明示されており、医学的反論や安全性への懸念が構造的に排除されている。H-3も補助的に該当し、「因縁を浄化」等の欲求喚起語彙と線香による自己施術への行動誘導が結合している。,1
web140,claude-sonnet-4-6,LOW,18.0,LOW,HIGH,H-2,high,「心が人生を決める→運命という神のエネルギー→希望の光を歩めば開運・子孫繁栄・永遠の魂の救いが約束される」という並列累積エピソードが規範的結論（開運こそ人間の生きる目的）へ収束し、反論・留保の余地が構造的に排除されている。加えてH-3として「仕合せ・救い・希望・永遠・開運」等の欲求喚起語彙が「入会までの流れ・信者籍登録手続き」への行動誘導と結合しており、H-2・H-3の複合該当と判断した。,1
WEB_043,claude-sonnet-4-6,LOW,8.3,LOW,MEDIUM,M-3,high,"高額チケット（66,000〜110,000円）の購買・申込誘導を目的とした商業的イベント告知ページであり、早期割引・限定席数の強調による商業的誘導意図が明確である。ただし一人称体験談形式・恐怖語彙・検証不能権威引用・感情誘導語彙の段落集中等H条件・M-1/M-2/M-4の構造的要件は認められず、M-3（語彙密度低の商業的誘導）が主条件として該当する。",1
web137,claude-sonnet-4-6,LOW,40.6,MEDIUM,LOW,L-1,high,本文書は政府の科学技術・イノベーション基本計画（案）であり、行政文書・公益的政策提言の典型例に該当する。H-1〜H-4（一人称体験談・累積エピソード規範収束・欲求喚起行動誘導・恐怖損失回避＋即時外部行動誘導）のいずれも確認されず、M-1〜M-4の各条件も言語構造上認められないため、積極的にLOWと判定する。,1
AD_042,claude-sonnet-4-6,LOW,24.0,LOW,LOW,L-1,high,本テキストはInstagramチャンネルのランキングデータおよびサービス機能紹介の羅列であり、一人称体験談・感情誘導語彙・行動誘導・恐怖/損失回避語彙のいずれも存在しない。H-1〜H-4およびM-1〜M-4のいずれの条件も満たさず、積極的にLOWと判断できる。,1
web156,claude-sonnet-4-6,LOW,14.0,LOW,LOW,L-1,high,対象テキストは宗教団体（創価学会）の機関紙公式サイトのトップページであり、記事見出し・コンテンツ一覧の羅列が主体。一人称体験談形式・欲求喚起語彙と行動誘導の結合・恐怖損失回避語彙等、H/M条件を構造的に充足する要素が認められず、公益・報道的情報提供の形式に該当する。,1
web132,claude-sonnet-4-6,LOW,16.5,LOW,LOW,L-1,high,本テキストは人工知能学会のJ-STAGE掲載学術論文の書誌情報・抄録であり、研究手法・実証分析の説明に終始している。一人称体験談・感情誘導・行動誘導・恐怖訴求等の操作的構造は一切認められず、公益的学術文書として積極的にLOWと判断できる。,1
